,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm]
0,0,2265,123,5748.696207257881,9.225222222222222,0.6179455238375405,0.028479741092223718
1,1,1239,135,6372.966895690192,2.2236111111111114,0.29446776357870563,0.05630430539179064
2,2,3036,521,7951.219512195121,2.6035000000000004,24.529831792614026,4.00589600613088
3,3,1162,259,5907.417073361693,8.514888888888889,0.8667476767891713,0.04327891690797702
4,4,2263,575,5665.167275794208,6.323555555555556,0.6402251079839207,0.043046123390994305
5,6,1665,215,4502.245472837022,6.902777777777778,0.8564771867487536,0.05275390219369813
6,7,1681,522,5891.6116489124715,2.7432222222222222,0.22114442121606265,0.03427501711330729
7,8,1375,250,5535.915731036814,4.683416666666667,0.5341246010355766,0.048488915063568894
8,9,1072,557,5729.848916485125,3.1494722222222222,0.3828101611516545,0.05167831648425075
9,10,2993,531,7141.713442315003,1.242138888888889,0.09794207152492732,0.03352446138308149
10,11,1411,304,5509.039658857419,2.6903055555555557,26.873738328578867,4.247067449164844
11,12,1348,309,5191.223269923804,8.96436111111111,97.08328604253742,4.604556512103141
12,13,177,571,3525.5020048991314,16.023249999999997,1.5827201823395316,0.041996801372589106
13,14,936,356,5408.930641993421,3.5215833333333335,44.11131777913696,5.325676039923021
14,15,1162,218,3820.9509252688467,4.57975,0.3016645300661765,0.02800561794194724
15,16,1431,244,6063.064833005894,1.1311111111111112,0.15766534094229645,0.0592643667589122
16,17,673,591,8425.22658610272,1.3239999999999998,0.11324998189777856,0.03636744902383604
17,18,1063,195,5444.5280469265845,1.8089722222222224,0.17146445381581468,0.04029998503988246
18,19,2122,415,3787.0893485481274,12.670416666666666,0.7821968512798683,0.02624749423941584
19,20,1869,575,4443.375745730745,14.624916666666667,1.0835349363980842,0.03150011949594469
20,21,2082,465,4720.878832308466,7.6161666666666665,0.6952894435092871,0.038814310785668014
21,22,2166,213,5153.075341668714,6.445083333333334,0.8438035256773532,0.05566413711958842
22,23,1558,273,4289.891041162227,16.52,0.9887314417139155,0.025446671569863667
23,24,3121,366,4833.408362683049,9.440750000000001,0.8104465595236177,0.0364989665911157
24,25,1478,156,4055.3601873256107,19.502583333333334,1.6123569668422806,0.03515051875741999
25,26,3106,157,5891.119904297414,3.0186111111111114,0.2671825565405329,0.03763254740628333
26,27,1951,185,3477.3779304166046,1.67425,0.12276451665899243,0.031175629624746293
27,28,1736,337,4321.262806664813,3.8960833333333333,0.31240307260718303,0.0340917850744908
28,29,1838,291,2984.6693358587518,2.962472222222222,0.15191588049424476,0.021802764852829944
29,30,783,145,7227.358344409201,3.4066388888888888,0.34169164059183016,0.04264527671206776
30,31,160,584,3745.826851630431,11.26747222222222,0.7983297530821978,0.03012440667540971
31,32,2111,498,8917.914818843612,0.6639444444444444,0.10063651968371928,0.0644446026741759
32,33,2859,264,4712.195929091278,11.079972222222223,138.65722779775888,5.32067245231901
33,34,2427,528,4079.610160754744,9.268777777777778,87.76878117499012,4.026060345551055
34,35,940,181,5724.557013736404,5.439722222222223,0.39503118074280663,0.03087573723951584
35,36,10291,345,4904.012234616769,1.235111111111111,0.08090328637042327,0.0278498472407017
36,37,7054,299,4428.939410908277,0.992111111111111,0.06611808689059338,0.028334962874893458
37,38,759,562,5120.208092118829,5.254083333333333,0.4748000104843992,0.038421688418272607
38,39,1241,156,3665.6995080105967,3.9635000000000002,0.39339506064848295,0.04220002641541169
39,40,4529,597,4074.0336667836077,27.395944444444442,1.9535346318905285,0.0303177886062198
40,41,507,535,6610.402766034039,6.636055555555556,67.20692154432058,4.3059270926350806
41,42,959,196,4099.2204846758805,6.417805555555555,0.7603804017158668,0.050374070128104326
42,43,1803,228,3643.8664287707484,3.2849722222222226,0.29781691726718407,0.03854609123254166
43,44,390,577,2351.8469306404463,1.2543333333333333,0.09585755712613021,0.03249197242963516
44,45,1761,367,4450.4001829407725,7.895694444444445,0.6243051766602908,0.03361779971325528
45,46,727,604,3444.571407676908,3.0386944444444444,20.49705800467799,2.8679209790703117
46,47,386,557,5354.512031179176,7.1700277777777774,0.8945936993396277,0.05304783688339181
47,48,1194,400,5367.6511148130585,2.517861111111111,0.2366845316817897,0.039966929864422664
48,49,1226,208,5387.587275417879,8.390583333333334,0.7580389940465051,0.038411571384512136
49,50,2064,531,8598.90990702148,1.2995833333333335,0.11874410767983518,0.03884817467654964
50,51,1356,562,6171.301993600787,2.4829444444444446,0.20178006721573716,0.03455205979199657
