,Unnamed: 0,Unnamed: 0.1,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
0,0,0,9,3265,125,5906.293169608594,1.447777777777778,0.1705289720290713,0.1177867036271406,3500,2.4
1,1,1,13,872,474,6409.282860947308,2.1904166666666667,0.197068596231957,0.0899685430771727,3000,1.5
2,2,2,34,1869,231,5199.283588825114,1.9696944444444449,0.1676847346795187,0.0851323590582672,3000,1.8
3,3,3,55,1045,375,4243.048927912452,11.787750000000004,1.8736588612940024,0.1589496605623636,4500,3.3
4,4,4,61,767,458,4326.967847958733,1.8255277777777776,0.1928311474259686,0.1056303551078815,3500,2.4
5,5,5,66,925,124,2678.818420629389,1.036277777777778,0.081602831612719,0.0787460981627053,3000,1.8
6,6,6,75,1907,475,3810.1112168235945,1.6933888888888888,0.1310971215475364,0.0774170200405385,3000,1.5
7,7,7,88,2206,347,4619.35739197111,3.3690833333333337,0.4160423676572318,0.1234882982979242,4000,3.3
8,8,8,93,927,452,4781.170242934115,5.877222222222223,0.5211077739346074,0.0886656577258997,3000,1.5
9,9,9,130,1521,405,8972.284076372767,1.172611111111111,0.1224147088620241,0.1043949760513779,3000,1.5
10,10,10,131,544,407,3765.4679545751214,3.4048888888888884,0.4377841126575799,0.1285751538284238,3500,2.3
11,11,11,148,1614,231,4683.705331328784,1.2009722222222223,0.0917600534794439,0.0764048091883886,3000,1.8
12,12,12,157,875,440,4261.178583980943,0.7113055555555555,0.061320383240457,0.0862082163727282,3000,1.5
13,13,13,164,1547,338,4942.752457442058,4.541194444444445,0.3945536708805037,0.0868832364936913,3000,1.8
14,14,14,176,733,474,8692.222658060835,0.7789722222222223,0.0695213579137709,0.0892475443032398,3000,1.5
15,15,15,179,1367,405,5275.546562700489,2.8143055555555554,0.3011736008208109,0.1070152458130503,3000,1.5
16,16,16,199,231,458,2399.8380949168545,2.4705833333333334,0.2758016504603777,0.1116342228732935,3500,2.4
17,17,17,204,558,458,5586.304594790655,8.117888888888888,1.0157117268480769,0.125120180967037,3500,2.4
18,18,18,207,1078,201,6845.43576402173,4.356333333333334,0.474184363584185,0.1088494215894525,2500,1.5
19,19,19,208,1407,450,2901.8745364805773,1.0861944444444442,0.0758052770857431,0.0697897853128085,3500,1.8
20,20,20,240,614,440,5174.896336211215,8.320166666666665,0.7743090656793937,0.0930641292056722,3000,1.5
21,21,21,245,948,355,2942.26200203648,4.419388888888889,0.4242755962799318,0.0960032273572109,3000,1.8
22,22,22,248,1116,405,3951.343408491549,2.8544722222222223,0.2998650882864273,0.105050974380469,3000,1.5
23,23,23,283,1137,452,6200.444401507101,4.312916666666666,0.4137060579569587,0.0959225716449329,3000,1.5
24,24,24,351,2060,347,4373.877317026562,3.488666666666667,0.4012341938498115,0.1150107568841424,4000,3.3
25,25,25,368,827,386,5874.7687553050255,5.105222222222222,0.5045014001454593,0.0988206542605422,3000,1.5
26,26,26,378,961,389,5224.110214170887,1.606972222222222,0.1901432497177676,0.1183239181663175,3000,1.5
27,27,27,406,847,474,5062.930001528895,7.8124722222222225,0.6836275213991573,0.0875046338666792,3000,1.5
28,28,28,414,827,605,5651.697230505508,1.555638888888889,0.1719577472308125,0.1105383443799305,4000,2.3
29,29,29,431,819,437,5098.726746261553,4.201833333333333,0.3551386422891001,0.0845199259741621,3000,1.5
30,30,30,435,1796,549,6284.965878541394,1.2089166666666666,0.0864571882015532,0.0715162513558033,3000,1.5
31,31,31,442,791,386,3285.658315016369,4.183027777777778,0.391876635500571,0.0936825324427451,3000,1.5
32,32,32,489,754,605,3716.8674698795176,4.98,0.4302548580395145,0.0863965578392599,4000,2.3
33,33,33,555,1014,411,4762.10574258929,3.659305555555555,0.3420310090248869,0.0934688300367854,3000,1.5
34,34,34,656,573,372,4058.6996253557504,5.182694444444444,0.3856066660872445,0.0744027397757537,3000,1.5
35,35,35,690,1021,124,4798.360355256361,1.667027777777778,0.1521076452388117,0.0912448174328432,3000,1.8
36,36,36,715,450,549,5418.176212132892,5.045055555555555,0.3921094524647205,0.0777215331222535,3000,1.5
37,37,37,718,1322,292,2813.741277509393,3.726,0.3357116023499193,0.0900997322463551,3000,1.8
38,38,38,739,532,407,2290.7762152585537,1.5051666666666668,0.186238582003224,0.1237328636938704,3500,2.3
39,39,39,767,843,565,7440.480961923848,1.2475,0.135556696626066,0.1086626826661852,2500,1.3
40,40,40,778,1103,353,4173.006106905149,2.4289444444444444,0.2072350703295493,0.0853189832330433,3000,1.8
41,41,41,780,361,220,4826.003036775871,2.158722222222222,0.1942850325049412,0.0900000150574913,3000,1.8
42,42,42,785,1070,430,4137.044751199521,3.294138888888889,0.3393723570451474,0.1030230869104664,3500,1.8
43,43,43,791,527,451,6495.748402403755,1.6039722222222224,0.1507579146912115,0.0939903525775178,3000,1.5
44,44,44,796,256,564,2924.415553487716,6.298694444444445,0.4400774388798724,0.06986804055371,3000,1.5
45,45,45,801,692,372,4086.456227647333,0.8931944444444445,0.0685772925625109,0.0767775628129495,3000,1.5
46,46,46,805,664,565,6015.459933006959,1.078055555555555,0.0852900872141926,0.0791147420693361,2500,1.3
47,47,47,827,703,402,1545.5815073440883,2.3072222222222223,0.1772140545258795,0.076808403117405,3000,1.8
48,48,48,835,811,452,3813.696092344416,4.678138888888888,0.5367816229051947,0.1147425580245409,3000,1.5
49,49,49,851,2369,347,3853.0984810668174,3.5057500000000004,0.3725695841892119,0.1062738598557261,4000,3.3
