,Unnamed: 0,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
0,0,0,1599,561,5202.399993843664,6.667787082084726,0.3257648736922882,0.020772329980477,4000,2.0
1,1,3,98,560,5724.346169926139,17.93916666666667,0.7464744856759368,0.0176919370756026,3000,1.8
2,2,4,2000,371,2736.9989338784344,5.616094605972847,0.1716990844292682,0.0129985900396626,4000,2.0
3,3,6,1809,371,3158.2732475383227,12.19364692993366,0.1984670297495797,0.0069201807322008,4000,2.0
4,4,8,2702,449,6144.488233801017,1.0761758076830352,0.0739485162585207,0.0292152039320017,4000,2.0
5,5,10,3222,371,2585.879767055231,4.9864007387425024,0.0230176856956997,0.0019626242465898,4000,2.0
6,6,11,1001,398,4162.296504360358,3.777722222222223,0.0057841082907052,0.0006509821449998,3000,1.8
7,7,12,1038,417,5815.154929046462,1.4905155146054985,0.0167838824931482,0.0047876083082981,4000,2.0
8,8,15,1626,443,5181.036569513578,1.0303610893259516,0.0534824511534833,0.0220690956119705,4000,2.0
9,9,17,2756,561,4925.671228957457,8.867875356745383,0.4150026766283369,0.0198972932247327,4000,2.0
10,10,19,479,497,6308.99446264363,1.6704722222222224,0.011363029473521,0.002892128315564,3500,1.8
11,11,20,1690,11,4590.819907672599,4.366428518877664,0.0299981812896809,0.0029209979562208,4000,2.0
12,12,22,2828,417,4638.090973314484,5.7909654343520005,0.3204587816236222,0.02352793908501,4000,2.0
13,13,23,3406,449,899.6762719378514,0.4565558222335148,0.0025486764766495,0.0023734686936096,4000,2.0
14,14,24,4230,371,4965.184416060399,11.50380501970278,0.0610648193850649,0.0022568996403842,4000,2.0
15,15,27,1512,560,5103.87765907746,17.837222222222223,0.6619352691197715,0.0157779647466992,3000,1.8
16,16,28,1882,388,6688.796930992267,8.35858592527323,0.0369033213625151,0.0018771342179649,4000,2.0
17,17,29,1389,561,5038.523680068298,13.33252857908654,0.5763101816279347,0.0183783471885354,4000,2.0
18,18,31,2082,388,5760.058904638193,1.7662794111573286,0.0144083456011286,0.0034683058867664,4000,2.0
19,19,32,1224,388,5003.823108621317,7.803525930058656,0.053402420301119,0.00290959636397,4000,2.0
20,20,33,2876,449,5376.755757058681,6.103532922421042,0.0452051850251372,0.0031489781142519,4000,2.0
21,21,34,2884,11,5191.086897875663,3.0783843852710264,0.0204283018026438,0.002821448324864,4000,2.0
22,22,35,1809,388,4365.244553341116,1.6084519103898614,0.0604400798134502,0.0159764259533417,4000,2.0
23,23,36,1816,11,5796.199134472613,5.004663514013212,0.0304794901653508,0.0025893782610462,4000,2.0
24,24,37,1360,560,4558.689423331157,10.295722222222222,0.3455726775223593,0.0142706995817544,3000,1.8
25,25,38,2718,449,6405.717062020358,2.1805268980415184,0.0109892076778561,0.002142730814353,4000,2.0
26,26,39,1479,560,4725.83086143229,14.683555555555555,0.2328584862987394,0.0067425398491368,3000,1.8
27,27,40,849,417,6233.442149070788,0.5911172080661217,0.0266376794780552,0.0191595572607741,4000,2.0
28,28,41,1889,431,5089.328586783439,2.115985227611401,0.0105344027739196,0.0021167032196483,4000,2.0
29,29,42,3290,371,4563.313049463598,5.7626629240552845,0.1669293026570205,0.0123160670512505,4000,2.0
30,30,43,1310,560,5402.50458364332,8.923638888888888,0.3761198109284526,0.0179203671943681,3000,1.8
31,31,45,815,560,4778.7966516644165,14.67063888888889,0.2521831637615563,0.0073085251231303,3000,1.8
32,32,47,2316,371,4329.885829293464,5.469262924685553,0.0185285297892447,0.0014403725656305,4000,2.0
33,33,48,4122,371,4424.360229318195,7.057190124231397,0.0338285570430254,0.0020380476713898,4000,2.0
34,34,49,2820,449,4733.012068303723,1.640138576183659,0.0067952291460721,0.0017615145941012,4000,2.0
35,35,50,231,560,4390.257978414296,6.9310277777777785,0.3490025559147983,0.0214088653512135,3000,1.8
36,36,53,657,560,5170.905140486891,5.062749999999999,0.2011923975422886,0.0168961503826206,3000,1.8
37,37,54,2244,371,4316.114911562763,4.9189479362964645,0.0209268459584467,0.001808815347301,4000,2.0
38,38,56,2324,371,5258.484697350767,6.73684430257744,0.305524000606262,0.0192819745102335,4000,2.0
39,39,57,1841,398,5383.999378012752,4.287333333333333,0.0070717846179543,0.0007013009983881,3000,1.8
40,40,58,1904,449,5882.630540514949,3.6171265810535087,0.0487087711035035,0.0057254041459524,4000,2.0
41,41,61,2466,11,3950.649461960452,1.7430835747187694,0.0802503096893963,0.0195745230605769,4000,2.0
42,42,62,747,398,5567.241396766257,5.487277777777778,0.2442724442067718,0.0189269317002985,3000,1.8
43,43,64,1779,11,2800.0800271492185,14.560441083748405,0.0770690995227065,0.0022504451684117,4000,2.0
44,44,65,1049,560,4429.264968912358,14.67625,0.3480449610568262,0.0100828413095347,3000,1.8
45,45,66,1768,398,4612.742241925269,8.772222222222222,0.316931637592305,0.0153609704019741,3000,1.8
46,46,67,2270,371,2658.164659947955,4.912897113948812,0.0247703013578088,0.002143661971559,4000,2.0
47,47,68,1092,561,4876.728311016091,6.674613191343948,0.030673848851229,0.0019539113397082,4000,2.0
48,48,69,968,388,4668.949637175897,2.156031903528392,0.0978116309394102,0.0192884797819105,4000,2.0
49,49,71,1993,431,3789.464474506644,4.875469048710377,0.2277957783989031,0.0198651546406169,4000,2.0
50,50,72,2120,388,5342.216936813545,7.781571467954503,0.4604846769778635,0.0251599952840414,4000,2.0
51,51,73,2845,449,6517.302861709631,7.958253168440056,0.065608454769582,0.0035051349318925,4000,2.0
