,TripId,VehId,Aggressivity,Aggressiveness,Fuel Consumed[L],Distance[km],Weight,Displacement,Fuel Economy[mpg],Fuel Rate[gpm]
0,0,123,475.64550767866587,242212.48509521,0.8956464370286306,9.225222222222222,2500.0,1.8,24.22727037557216,0.041275801379930886
1,1,135,269.5409589040229,101741.26171143033,0.4419009053301478,2.2236111111111105,3500.0,2.5,11.835815763843668,0.08448931784278223
2,2,521,459.15157445227936,199787.20952563846,0.0,2.6035,4500.0,3.5,inf,0.0
3,3,259,401.9827443646376,145957.04256596288,0.0,8.514888888888889,3500.0,2.7,inf,0.0
4,4,575,266.1127698959285,117044.12074782119,1.0089584843267394,6.323555555555558,4000.0,2.4,14.74186038658449,0.06783404358584405
5,5,301,245.08237747898758,75054.69585974152,0.0,2.6997777777777783,3000.0,2.3,inf,0.0
6,6,215,293.5115829530628,124883.71026156946,0.0,6.902777777777778,5000.0,4.6,inf,0.0
7,7,522,552.5857671587262,156207.17728543075,0.34407476853049185,2.7432222222222222,3000.0,2.4,18.753071782145952,0.05332459725089198
8,8,250,529.2458070194801,148391.66562872546,0.9374687572589542,4.683416666666666,5500.0,5.3,11.750876075062505,0.08510003795565352
9,9,557,620.7815608459207,135273.77602949349,0.5836438592618995,3.1494722222222222,4500.0,3.5,12.692702881408046,0.07878542571612347
10,10,531,356.69987429988714,143817.65324149653,0.1477156845856105,1.2421388888888891,2500.0,1.5,19.77915798975732,0.050558269493466416
11,11,304,261.9322108509207,121296.25920227975,0.0,2.6903055555555566,2500.0,1.5,inf,0.0
12,12,309,122.76519977821108,96406.81463945193,0.0,8.96436111111111,4500.0,3.6,inf,0.0
13,13,571,527.0606060291935,148429.12642566275,2.389009290819418,16.023249999999994,3500.0,2.4,15.776004525175095,0.06338740575309902
14,14,356,219.1592241611075,119005.70292718713,0.0,3.521583333333333,3500.0,2.4,inf,0.0
15,15,218,362.8996340359298,139367.43272012664,0.0,4.57975,3000.0,2.4,inf,0.0
16,16,244,247.8925683406021,121778.48722986248,0.2729202799698332,1.1311111111111112,3500.0,2.5,9.748408340448592,0.10258084859358518
17,17,591,718.4606969403712,122944.86404833838,0.1420516548235512,1.3239999999999998,2500.0,2.0,21.92330065869014,0.04561356957915968
18,18,195,121.01145145275528,80505.38212305942,0.27899747138816433,1.8089722222222224,3000.0,2.0,15.250914383952553,0.06556983895026179
19,19,415,216.56298072419608,109227.7023249696,1.2234567543915218,12.670416666666664,2500.0,2.0,24.35939658920196,0.041051919998842674
20,20,575,438.5141484573688,161109.9778346315,1.620187653547242,14.624916666666667,4000.0,2.4,21.232069832307698,0.04709856400709241
21,21,465,349.04654730032166,216685.84370965275,1.0565875163911849,7.6161666666666665,4000.0,3.5,16.95489935869169,0.05898000211292107
22,22,213,473.494983008498,110574.98610051587,0.0,6.445083333333334,4500.0,4.2,inf,0.0
23,23,273,588.4459335854951,305369.09806295397,1.5363799713259831,16.52,3000.0,2.0,25.291562355011287,0.039538878063887554
24,24,366,502.10800954200005,283676.1380186955,1.2481394104715078,9.44075,4500.0,3.5,17.791298774669258,0.056207251233607036
25,25,156,506.11455779795165,319620.5801795489,2.469738089946536,19.502583333333334,4500.0,3.5,18.57400228598896,0.05383869263084651
26,26,157,390.70621313840417,216660.23741603017,0.3874785611273277,3.018611111111112,3500.0,3.5,18.324145859547464,0.05457280288341342
27,27,185,171.06672885427506,121831.26773182025,0.19130775802045413,1.67425,2500.0,1.5,20.58505243610372,0.048578938679122316
28,28,337,384.1399713819943,198070.45537184773,0.518532295065814,3.896083333333333,3000.0,2.5,17.673260520483147,0.056582654844079795
29,29,291,427.7201816423426,134256.78628022768,0.21469570907371446,2.962472222222221,3500.0,2.5,32.456013423428466,0.030810931304278644
30,30,145,486.7644394461877,149626.51358866267,0.5611024961420279,3.4066388888888888,3500.0,2.4,14.280655786256506,0.070024795427279
31,31,584,590.3561454581228,250563.60861772703,1.2578693264793401,11.26747222222222,3500.0,2.5,21.06954811996915,0.047461862699002405
32,32,498,235.73355883750568,69767.13245753493,0.0,0.6639444444444444,3500.0,2.7,inf,0.0
33,33,264,411.9027445862291,133951.28347193007,0.0,11.079972222222226,4000.0,3.6,inf,0.0
34,34,528,311.92847738630417,192432.32956520686,0.0,9.268777777777778,4500.0,3.3,inf,0.0
35,35,181,550.4893557159245,133119.02160036765,0.0,5.439722222222222,3000.0,2.4,inf,0.0
36,36,345,335.06347609623697,189624.235336452,0.12033647548888145,1.2351111111111108,3500.0,2.5,24.14198598284421,0.04142161298207283
37,37,299,244.48636999208856,171655.1685519095,0.10518688306903154,0.9921111111111108,3500.0,2.5,22.18518116423864,0.04507513337830877
38,38,562,281.47027432733245,104616.91700106267,0.7209277001576301,5.254083333333333,3000.0,2.4,17.142315982271498,0.05833517484068053
39,39,156,309.9846990829272,135033.3038980699,0.6056283607458732,3.9635,4500.0,3.5,15.393483491871502,0.06496255383182423
40,40,597,474.1301736747447,298837.9910246245,3.104664182033713,27.395944444444453,3000.0,2.0,20.755628925776698,0.048179701206648884
41,41,535,379.97915791434235,139579.52766452628,0.0,6.636055555555558,4000.0,3.6,inf,0.0
42,42,196,298.7455941817406,159832.74830008528,0.0,6.417805555555558,4000.0,4.3,inf,0.0
43,43,228,235.87354002118875,139728.5787973854,0.0,3.2849722222222213,3000.0,3.0,inf,0.0
44,44,577,340.28241049561296,133334.5734786075,0.15165779993311235,1.2543333333333333,3500.0,2.4,19.454159142993657,0.05140288987304529
