,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
0,0,2265,123,475.64550767866587,5748.696207257881,9.225222222222222,0.8956464370286306,0.0970867059300911,2500.0,1.8,46.42372881355932,147.49413298565838,6.4,0.0,60.70073197088463,11.020073363761794
1,1,1239,135,269.5409589040229,6372.9668956901905,2.2236111111111105,0.4419009053301478,0.1987312003983176,3500.0,2.5,40.74816983894583,447.76640060454355,-6.47,0.0,70.81810848004555,10.87364657764479
2,4,2263,575,266.1127698959285,5665.167275794208,6.323555555555558,1.0089584843267394,0.1595555657671607,4000.0,2.4,32.92909535452323,247.0709406011794,1.52,0.0,94.30844933002913,15.352538263028
3,7,1681,522,552.5857671587262,5891.6116489124715,2.7432222222222222,0.3440747685304918,0.1254272314299658,3000.0,2.4,33.915,447.276871088861,8.92,0.0,361.84225164089446,63.481096779104284
4,8,1375,250,529.2458070194801,5535.915731036814,4.683416666666666,0.9374687572589542,0.2001677031922466,5500.0,5.3,33.196768060836504,319.06781066737085,12.23,0.0,112.15119554795535,17.818414245936832
5,9,1072,557,620.7815608459207,5729.848916485124,3.1494722222222222,0.5836438592618995,0.1853148140643351,4500.0,3.5,23.6734693877551,535.8638262322471,9.68,0.0,137.92350067884956,17.60725540581058
6,10,2993,531,356.6998742998871,7141.713442315003,1.2421388888888891,0.1477156845856105,0.118920425007983,2500.0,1.5,38.459619952494066,470.21061483755625,6.71,0.0,70.12027053593539,10.710012502606846
7,13,177,571,527.0606060291935,3525.5020048991314,16.023249999999994,2.389009290819418,0.1490964249337318,3500.0,2.4,11.297842727905357,263.4223699947468,-0.62,0.0,186.44624223238364,16.083222173400504
8,16,1431,244,247.8925683406021,6063.064833005894,1.1311111111111112,0.2729202799698332,0.24128511981615902,3500.0,2.5,33.97196261682243,429.87733644859816,-10.11,0.0,310.8294368064764,27.926082213081866
9,17,673,591,718.4606969403712,8425.226586102719,1.3239999999999998,0.1420516548235512,0.1072897695041927,2500.0,2.0,58.18731988472622,243.44168846096184,6.73,0.0,36.767392533406436,4.818518679591727
10,18,1063,195,121.01145145275528,5444.528046926585,1.8089722222222224,0.2789974713881643,0.1542298261746835,3000.0,2.0,22.10738255033557,172.85325594050425,1.21,0.0,25.418167263816326,3.5513325893417136
11,19,2122,415,216.56298072419608,3787.089348548128,12.670416666666664,1.2234567543915218,0.0965601042632001,2500.0,2.0,52.25449101796407,949.1392440344538,0.87,0.0,89.74993720026808,11.586972198721698
12,20,1869,575,438.5141484573688,4443.375745730746,14.624916666666667,1.620187653547242,0.110782693021424,4000.0,2.4,30.494505494505486,689.3232219469453,23.62,0.0,67.12409734536016,10.895895561070487
13,21,2082,465,349.04654730032166,4720.878832308466,7.6161666666666665,1.0565875163911849,0.1387295686444867,4000.0,3.5,36.22602739726028,427.01914988604057,20.5,0.0,45.48660378621044,7.03591971727
14,23,1558,273,588.4459335854951,4289.891041162227,16.52,1.5363799713259831,0.0930012089180377,3000.0,2.0,41.81723237597911,559.5710965147697,7.49,0.0,70.04953798462724,10.129712600718154
15,24,3121,366,502.1080095420001,4833.408362683049,9.44075,1.2481394104715078,0.1322076541028528,4500.0,3.5,55.13580246913581,673.6719030692199,8.24,0.0,39.98699609882965,4.993535814858689
16,25,1478,156,506.11455779795165,4055.3601873256102,19.502583333333327,2.469738089946536,0.1266364587569955,4500.0,3.5,27.41060903732809,349.1173701301837,-6.92,0.0,139.84806629834253,22.925912507925005
17,26,3106,157,390.70621313840417,5891.119904297415,3.018611111111112,0.3874785611273277,0.1283631931589564,3500.0,3.5,87.44354838709677,1601.5412790192156,15.05,0.0,43.18081247020092,5.428801567785375
