,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm]
0,0,2265,123,475.6455076786658,5748.696207257881,9.225222222222222,0.8956464370286306,0.09708670593009112
1,1,1239,135,269.54095890402294,6372.966895690192,2.2236111111111105,0.4419009053301478,0.19873120039831763
2,4,2263,575,266.1127698959285,5665.167275794208,6.323555555555556,1.0089584843267394,0.15955556576716076
3,7,1681,522,552.5857671587262,5891.6116489124715,2.7432222222222222,0.34407476853049185,0.12542723142996584
4,8,1375,250,529.2458070194801,5535.915731036814,4.683416666666666,0.9374687572589542,0.2001677031922466
5,9,1072,557,620.7815608459208,5729.848916485125,3.1494722222222222,0.5836438592618995,0.18531481406433514
6,10,2993,531,356.699874299887,7141.713442315003,1.242138888888889,0.1477156845856105,0.11892042500798304
7,13,177,571,527.0606060291935,3525.5020048991314,16.023249999999997,2.389009290819418,0.14909642493373182
8,16,1431,244,247.89256834060217,6063.064833005894,1.1311111111111112,0.2729202799698332,0.241285119816159
9,17,673,591,718.4606969403712,8425.22658610272,1.3239999999999998,0.1420516548235512,0.10728976950419276
10,18,1063,195,121.01145145275527,5444.5280469265845,1.8089722222222224,0.27899747138816433,0.15422982617468353
11,19,2122,415,216.5629807241961,3787.0893485481274,12.670416666666666,1.2234567543915218,0.09656010426320012
12,20,1869,575,438.51414845736883,4443.375745730745,14.624916666666667,1.6201876535472421,0.11078269302142409
13,21,2082,465,349.04654730032155,4720.878832308466,7.616166666666666,1.0565875163911849,0.13872956864448674
14,23,1558,273,588.4459335854951,4289.891041162227,16.52,1.536379971325983,0.0930012089180377
15,24,3121,366,502.10800954200005,4833.408362683049,9.440750000000001,1.2481394104715078,0.13220765410285282
16,25,1478,156,506.11455779795165,4055.3601873256107,19.502583333333334,2.469738089946536,0.12663645875699558
17,26,3106,157,390.7062131384041,5891.119904297414,3.0186111111111114,0.38747856112732765,0.12836319315895642
18,27,1951,185,171.06672885427506,3477.3779304166046,1.67425,0.19130775802045413,0.11426475019886763
19,28,1736,337,384.1399713819943,4321.262806664813,3.8960833333333333,0.518532295065814,0.13309065815647697
20,29,1838,291,427.7201816423426,2984.6693358587518,2.962472222222222,0.21469570907371444,0.07247180495507431
21,30,783,145,486.7644394461877,7227.358344409201,3.4066388888888888,0.5611024961420279,0.16470853367291813
22,31,160,584,590.3561454581228,3745.826851630431,11.26747222222222,1.25786932647934,0.11163722454079034
23,36,10291,345,335.06347609623697,4904.012234616769,1.2351111111111108,0.12033647548888146,0.09742967608851506
24,37,7054,299,244.48636999208864,4428.939410908277,0.992111111111111,0.10518688306903154,0.10602328901571105
25,38,759,562,281.47027432733245,5120.208092118829,5.254083333333333,0.7209277001576301,0.1372128408363584
26,39,1241,156,309.9846990829272,3665.6995080105967,3.9635000000000002,0.6056283607458732,0.15280140298874056
27,40,4529,597,474.1301736747447,4074.0336667836077,27.395944444444446,3.1046641820337135,0.11332568542506664
28,44,390,577,340.282410495613,2351.8469306404463,1.2543333333333333,0.15165779993311235,0.12090709534927904
29,45,1761,367,318.9122520267175,4450.4001829407725,7.895694444444445,1.0261511006329604,0.12996337533742572
30,47,386,557,349.2121781304553,5354.512031179176,7.1700277777777774,1.326105098421995,0.184951180040337
31,48,1194,400,328.0101980782426,5367.6511148130585,2.517861111111111,0.33796107860890107,0.13422546506537117
32,49,1226,208,385.2953901819141,5387.587275417879,8.390583333333334,1.1415612806982869,0.13605267182833378
33,50,2064,531,285.3079407785588,8598.90990702148,1.2995833333333333,0.1783009241582491,0.13719853093292653
34,51,1356,562,513.9341814639998,6171.301993600787,2.4829444444444446,0.31428282834242965,0.12657666547700386
35,52,439,283,332.3604682772979,5101.80845920854,2.8154722222222226,0.263525930123436,0.09359919378477752
36,54,392,597,421.7267222594343,6023.512055691301,3.615166666666667,0.5336692617095364,0.14761954590646897
37,55,1038,340,485.2912076387948,6095.398750987007,6.191555555555556,1.0811926655774182,0.17462375260564142
38,56,1431,531,421.1623950272804,5473.591014688935,7.592638888888889,0.5958281076523158,0.07847444299296968
39,57,2855,531,406.01364805666384,6018.979240536126,5.664083333333334,0.6508898327128139,0.11491529951233305
40,58,627,522,347.65281830286455,4413.429425206539,5.689,0.6527551341760268,0.11473987241624659
41,59,2096,135,316.92054247713753,5007.3270132808975,5.057388888888889,0.5629381830112595,0.11131004464537773
42,62,1468,575,383.14963151396415,4668.00588196961,9.803972222222223,1.110034365985841,0.11322292034546731
43,64,1824,531,369.23173391513086,6102.610036036411,5.3341111111111115,0.5215906253311233,0.09778398208553148
44,65,2689,185,255.53234330212865,4509.523543211367,9.437138888888889,0.9588813064549284,0.10160720508033398
45,66,1487,308,335.3516051374946,5153.560118060193,6.446805555555556,0.6402686079547701,0.09931563817727007
46,68,509,414,511.2926244197187,5428.117265171811,26.160083333333333,2.8380157212403954,0.10848649391052126
47,69,1202,591,478.97225831283856,6467.308385106907,4.395027777777778,0.5262635263560715,0.11974065989229353
48,70,595,503,261.92055118831894,1909.071935438987,1.5971111111111111,0.1316480374017001,0.08242885324998615
49,71,2390,135,333.3064429605267,4752.386232524686,1.8538055555555557,0.22135580186333936,0.11940615950792238
50,73,2044,415,217.50112384138828,4601.847782253497,12.260944444444444,1.5117462967853614,0.12329770382985046
51,75,1497,530,659.4523497480113,5583.86470861324,7.000527777777778,0.885258726253003,0.1264559979410604
52,76,781,149,461.1970470571959,4786.088452108769,6.718638888888888,0.7603757695995451,0.11317407918098336
53,77,818,547,490.57184655727804,5001.156686537948,5.6195,0.4566376789919717,0.08125948553998963
54,79,1161,139,208.06305801302884,5112.756308384046,0.7166388888888888,0.07837804088907703,0.10936894732380222
55,80,8619,488,365.63730565855406,4119.303882195449,18.674999999999997,2.073121713501571,0.11101053352083382
56,81,2396,415,451.613133388218,2723.7687366167024,1.5566666666666666,0.13635207560856052,0.0875923397913665
57,83,952,416,379.3179094370799,5133.205349508768,5.165583333333333,0.6944630035257386,0.13444038334342465
58,85,973,276,162.87169192648162,1786.555772394274,2.718638888888889,0.21754897321582067,0.08002128348304956
59,86,1282,240,567.9224115004081,2414.00217354001,14.569166666666666,2.2884232906668895,0.15707303945548634
60,87,1352,562,249.43830959131805,3862.7353550488106,3.633694444444444,0.40607264892767747,0.11175200753286287
61,88,2237,133,254.03119789203197,3569.941540662539,4.504555555555556,0.602146500261072,0.1336750080745331
62,89,2799,324,474.4329219964964,6050.124935175145,5.891944444444444,0.5761325141930946,0.0977830866576371
63,91,1314,531,228.7249905404866,4344.327091938954,5.61513888888889,0.6158677338798494,0.10967987543433959
64,92,1896,135,627.7574082097658,5479.7189547643475,3.5186111111111114,0.3786677937853346,0.10761854090370289
65,93,519,557,435.33051777130015,5336.520347600624,5.485222222222222,1.0465070131756846,0.19078662099339966
66,94,1842,145,340.6710772683398,7853.767275969683,1.4953333333333334,0.28575855331386324,0.19110023627766154
67,95,924,276,434.4696252990352,2587.2885174079884,3.5759444444444446,0.27345368334171627,0.07647033884056881
68,96,246,597,439.2052304210505,4112.969848873353,20.21483333333333,2.4830600927612316,0.12283356740155654
69,97,1964,340,361.95844824386035,5767.876134307536,4.022277777777778,0.6016799709084393,0.14958687692645
70,98,789,8,286.5564427759538,7687.584650112866,0.6152777777777778,0.08318669950041793,0.1352018592331849
71,99,877,138,449.438971421606,3615.6394260036723,16.74613888888889,1.6644826009463607,0.09939500752921317
72,100,1111,248,306.9316196372678,5722.75373529292,2.0469166666666667,0.2814942924417353,0.13752112971953032
73,101,2194,502,158.3581170218818,3475.106463623999,2.491722222222222,0.24746595645096475,0.09931522632978898
74,102,1062,575,318.0630308566359,5374.412721358872,2.7670000000000003,0.4882176772223946,0.17644296249454086
75,103,1011,413,375.94605393679655,5944.724747216831,2.719722222222222,0.4612798863122575,0.16960551432173704
76,104,410,557,854.2023572257697,2298.581510726015,3.180222222222222,0.37792389607902344,0.11883568809696077
77,105,869,267,269.62214972612713,4549.656066799639,7.325388888888889,0.8489406382227034,0.11589018018010921
78,107,2104,154,587.5569190417775,6533.65904449161,0.6936388888888889,0.10385957281042796,0.14973147335610934
79,108,1263,291,356.5363685893013,3475.0537304267737,4.342666666666667,0.3888985228779356,0.08955292973854825
80,109,779,527,190.95749421050616,3149.0331915639936,1.2670555555555554,0.15576484884961844,0.12293450604170353
81,110,1693,268,520.8450643920918,6392.761315912273,7.619555555555555,0.8900644652899434,0.11681317352440344
82,111,1225,195,267.11171148708024,4212.296233525857,6.228194444444444,0.564222694920353,0.09059169554727699
83,112,1162,156,655.9199142092559,3393.24912959985,7.116777777777778,0.9413062750244601,0.13226579561943047
84,114,1552,268,314.01759300854974,8889.259877573733,0.8985000000000001,0.12949819246292602,0.14412709233492044
85,117,1418,140,391.2113154570479,5295.937617909697,0.6625833333333334,0.06540141182848092,0.0987066962572973
86,118,1224,230,409.9243068553586,5044.006330609644,7.757722222222222,1.2117427116946704,0.1561982598737034
87,119,1134,145,323.17032965346544,3886.4634911779062,1.5932222222222223,0.2066340512877088,0.12969568739726473
88,121,571,490,288.78535142143704,8228.974987739088,1.4159722222222222,0.3661402174156032,0.2585786724269096
89,122,1100,488,550.1190191853349,3275.018695288787,7.5776666666666666,0.837520104884063,0.11052480159469445
90,124,1298,176,380.42784431200596,5209.029425373354,2.8216388888888893,0.35274930144187217,0.1250157498292698
