,Unnamed: 0,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
0,0,0,2265,123,475.64550767866587,5748.696207257881,9.225222222222222,0.8956464370286306,0.09708670593009112,2500.0,"      0
11  1.8"
1,1,1,1239,135,269.5409589040229,6372.966895690191,2.2236111111111105,0.4419009053301478,0.19873120039831765,3500.0,"      0
21  2.5"
2,2,4,2263,575,266.1127698959285,5665.167275794208,6.323555555555557,1.0089584843267394,0.15955556576716076,4000.0,"       0
323  2.4"
3,3,7,1681,522,552.5857671587262,5891.6116489124715,2.7432222222222222,0.34407476853049185,0.12542723142996584,3000.0,"       0
292  2.4"
4,4,8,1375,250,529.2458070194801,5535.915731036814,4.683416666666666,0.9374687572589542,0.2001677031922466,5500.0,"       0
104  5.3"
5,5,9,1072,557,620.7815608459207,5729.848916485124,3.1494722222222222,0.5836438592618995,0.18531481406433514,4500.0,"       0
313  3.5"
6,6,10,2993,531,356.69987429988703,7141.713442315003,1.2421388888888891,0.1477156845856105,0.11892042500798305,2500.0,"       0
298  1.5"
7,7,13,177,571,527.0606060291935,3525.5020048991314,16.023249999999994,2.389009290819418,0.14909642493373182,3500.0,"       0
320  2.4"
8,8,16,1431,244,247.89256834060214,6063.064833005894,1.1311111111111112,0.2729202799698332,0.24128511981615902,3500.0,"      0
99  2.5"
9,9,17,673,591,718.4606969403712,8425.226586102719,1.3239999999999998,0.1420516548235512,0.10728976950419276,2500.0,"       0
333  2.0"
10,10,18,1063,195,121.01145145275528,5444.528046926585,1.8089722222222224,0.27899747138816433,0.15422982617468353,3000.0,"      0
62  2.0"
11,11,19,2122,415,216.56298072419608,3787.089348548128,12.670416666666664,1.2234567543915218,0.09656010426320012,2500.0,"       0
222  2.0"
12,12,20,1869,575,438.5141484573688,4443.375745730746,14.624916666666667,1.620187653547242,0.11078269302142407,4000.0,"       0
323  2.4"
13,13,21,2082,465,349.0465473003216,4720.878832308466,7.6161666666666665,1.0565875163911849,0.13872956864448674,4000.0,"       0
255  3.5"
14,14,23,1558,273,588.4459335854951,4289.891041162227,16.52,1.5363799713259831,0.0930012089180377,3000.0,"       0
123  2.0"
15,15,24,3121,366,502.10800954200005,4833.408362683049,9.44075,1.2481394104715078,0.13220765410285282,4500.0,"       0
185  3.5"
16,16,25,1478,156,506.11455779795165,4055.3601873256102,19.502583333333334,2.469738089946536,0.12663645875699558,4500.0,"      0
37  3.5"
17,17,26,3106,157,390.70621313840417,5891.119904297415,3.018611111111112,0.3874785611273277,0.12836319315895642,3500.0,"      0
38  3.5"
18,18,27,1951,185,171.06672885427506,3477.377930416605,1.67425,0.19130775802045413,0.11426475019886766,2500.0,"      0
55  1.5"
19,19,28,1736,337,384.1399713819943,4321.262806664813,3.896083333333333,0.518532295065814,0.13309065815647694,3000.0,"       0
167  2.5"
20,20,29,1838,291,427.7201816423426,2984.6693358587518,2.9624722222222215,0.21469570907371446,0.07247180495507431,3500.0,"       0
135  2.5"
21,21,30,783,145,486.7644394461877,7227.3583444092,3.4066388888888888,0.5611024961420279,0.16470853367291813,3500.0,"      0
29  2.4"
22,22,31,160,584,590.3561454581228,3745.826851630431,11.26747222222222,1.2578693264793401,0.11163722454079034,3500.0,"       0
330  2.5"
23,23,36,10291,345,335.06347609623697,4904.012234616769,1.2351111111111108,0.12033647548888145,0.09742967608851506,3500.0,"       0
171  2.5"
24,24,37,7054,299,244.4863699920886,4428.939410908277,0.9921111111111109,0.10518688306903154,0.10602328901571104,3500.0,"       0
140  2.5"
25,25,38,759,562,281.47027432733245,5120.208092118829,5.254083333333333,0.7209277001576301,0.1372128408363584,3000.0,"       0
315  2.4"
26,26,39,1241,156,309.9846990829272,3665.699508010597,3.9635,0.6056283607458732,0.15280140298874054,4500.0,"      0
37  3.5"
27,27,40,4529,597,474.1301736747447,4074.0336667836077,27.395944444444453,3.104664182033713,0.11332568542506664,3000.0,"       0
337  2.0"
28,28,44,390,577,340.28241049561296,2351.8469306404463,1.2543333333333333,0.15165779993311235,0.12090709534927906,3500.0,"       0
325  2.4"
29,29,45,1761,367,318.9122520267175,4450.4001829407725,7.8956944444444455,1.0261511006329604,0.12996337533742572,3500.0,"       0
186  2.5"
30,30,47,386,557,349.2121781304553,5354.512031179176,7.1700277777777774,1.326105098421995,0.184951180040337,4500.0,"       0
313  3.5"
31,31,48,1194,400,328.0101980782426,5367.651114813058,2.517861111111111,0.3379610786089011,0.13422546506537114,3500.0,"       0
209  2.5"
32,32,49,1226,208,385.2953901819141,5387.587275417879,8.390583333333334,1.1415612806982869,0.13605267182833378,3500.0,"      0
72  2.5"
33,33,50,2064,531,285.3079407785588,8598.90990702148,1.299583333333333,0.1783009241582491,0.13719853093292653,2500.0,"       0
298  1.5"
34,34,51,1356,562,513.9341814639998,6171.301993600788,2.4829444444444446,0.31428282834242965,0.12657666547700386,3000.0,"       0
315  2.4"
35,35,52,439,283,332.36046827729785,5101.80845920854,2.8154722222222226,0.263525930123436,0.09359919378477753,2500.0,"       0
130  1.5"
36,36,54,392,597,421.72672225943427,6023.512055691302,3.615166666666667,0.5336692617095364,0.14761954590646895,3000.0,"       0
337  2.0"
37,37,55,1038,340,485.2912076387948,6095.398750987007,6.191555555555557,1.0811926655774182,0.17462375260564142,3500.0,"       0
169  3.5"
38,38,56,1431,531,421.16239502728035,5473.591014688935,7.592638888888889,0.5958281076523158,0.07847444299296967,2500.0,"       0
298  1.5"
39,39,57,2855,531,406.01364805666384,6018.979240536126,5.664083333333334,0.6508898327128139,0.11491529951233305,2500.0,"       0
298  1.5"
40,40,58,627,522,347.65281830286455,4413.429425206538,5.689,0.6527551341760268,0.1147398724162466,3000.0,"       0
292  2.4"
41,41,59,2096,135,316.9205424771376,5007.3270132808975,5.057388888888889,0.5629381830112595,0.11131004464537772,3500.0,"      0
21  2.5"
42,42,62,1468,575,383.14963151396415,4668.00588196961,9.803972222222225,1.110034365985841,0.11322292034546733,4000.0,"       0
323  2.4"
43,43,64,1824,531,369.23173391513086,6102.610036036411,5.334111111111112,0.5215906253311233,0.09778398208553148,2500.0,"       0
298  1.5"
